Sample Name,Group,        Mg,        Al,         K,        Ca,        Sc,        Ti,        Mn,        Fe,        Ni,        Cu,        Zn,        Ga,        Ge,        Se,        Br,        Rb,        Sr,         Y,        Mo,        Pd,         I,        Ba,        La,        Ce,        Pr,        Nd,        Sm,        Eu,        Gd,        Tb,        Dy,        Ho,        Er,        Tm,        Yb,        Lu,        Ta,        Th
R1 MB1,mb,44,18,150,100,0.23,0.8,1.1,83,0.99,2.4,5.8,0.13,0.098,3.8,9.6,0.37,0.88,0.015,0.17,0,0.42,0.82,0.0049,0.027,0.0018,0.0077,0.018,0.0043,0.014,0.0015,0.0053,0.0011,0.0078,0.0016,0.0054,0.002,0.0033,0.0022
R1 MB2,mb,41,22,120,160,0.24,0.25,0.89,44,0.77,3,4.2,0.096,0.087,3.3,9.3,0.16,1.6,0.017,0.16,0.0049,0.55,0.67,0.0049,0.027,0.0024,0.011,0.0048,0.0014,0.0051,0.0016,0.0091,0.0013,0.0045,0.0016,0.0056,0.0018,0.0021,0.0086
R2 MB1,mb,9.7,19,90,44,0.24,0.23,4,41,0.88,3,4.9,0.071,0.058,3,8.9,0.15,0.16,0.025,0.14,0.0099,0.8,0.37,0.0039,0.023,0.0012,0.0088,0.0075,0.0012,0.0051,0.0017,0.0065,0.001,0.004,0.0016,0.006,0.0016,0,0.017
R2 MB2,mb,19,32,110,120,0.24,0.77,0.8,45,0.81,3.7,5.2,0.083,0.19,4,10,0.1,0.62,0.018,0.34,0.0051,0.7,0.48,0.0067,0.03,0.0024,0.016,0.01,0.0033,0.0096,0.0009,0.0034,0.0013,0.003,0.0012,0.01,0.0026,0.0011,0.0044
R3 MB1,mb,71,26,130,150,0.28,4.3,1.6,53,0.58,2,5.7,0.11,0.059,1.9,9.7,0.15,1.9,0.018,0.22,0.015,1.2,1.4,0.01,0.039,0.0038,0.0057,0.012,0.0027,0.0073,0.0007,0.0059,0.0015,0.0068,0.0009,0.007,0.0012,0.0021,0.0088
R3 MB2,mb,4,8.6,98,31,0.2,0.35,0.36,37,0.55,1.1,2.8,0.07,0.088,4.7,8.5,0.04,0.1,0.011,0.072,0.005,0.5,0.55,0.0044,0.024,0.001,0.0028,0.011,0.0024,0.0083,0.0014,0.004,0.0012,0.0032,0.0017,0.007,0.0017,0,0.0021
R4 MB1,mb,6.4,11,85,28,0.19,0.49,0.52,35,0.89,1.4,6.4,0.13,0.089,3.8,6.4,0.25,0.25,0.023,0.15,0.005,0.5,0.6,0.0066,0.023,0.0044,0.011,0.013,0.0049,0.013,0.0041,0.0097,0.0036,0.0046,0.0034,0.01,0.0034,0.0044,0
R4 MB2,mb,14,13,95,45,0.25,0.87,1,39,1.1,1.9,3,0.77,0.06,2.8,9.4,0.67,1,0.023,0.11,0.01,0.44,1.4,0.0034,0.023,0.0018,0.01,0.01,0.0021,0.013,0.0008,0.006,0.0023,0.0033,0.0009,0.0067,0.001,0,0.0044
R5 MB1,mb,25,15,130,89,0.26,0.74,0.83,43,0.89,1.8,5,0.046,0.1,1.8,8.9,0.073,0.65,0.013,0.12,0.01,0.64,0.91,0.006,0.027,0.0023,0.0093,0.0077,0.0038,0.0045,0.0017,0.0048,0.0037,0.005,0.0017,0.0066,0.0016,0.0023,0.0023
R5 MB2,mb,40,12,140,100,0.34,0.66,0.6,46,0.53,1,2.6,0.04,0.13,1.4,6.8,0.11,0.73,0.014,0.2,0.017,0.52,0.6,0.0053,0.024,0.002,0.015,0.013,0.004,0.008,0.0012,0.0069,0.0018,0.0048,0.0022,0.0067,0.0018,0.0025,0.012
R1 H2 PMC,pm,27000,39,31000,35000,0.57,7.7,400,340,2.1,30,400,2.3,0.34,5.1,43,120,330,0.06,8.2,0.096,10,74,0.098,0.13,0.017,0.051,0.016,0.01,0.022,0.0051,0.025,0.0067,0.016,0.0053,0.035,0.0051,0,0.017
R1 H3 BHBC/M/1,bhb,32000,34,24000,55000,0.51,3.9,230,420,2.3,33,1000,15,0.28,7.3,33,35,650,0.046,0.95,0.24,13,460,0.075,0.074,0.0069,0.03,0.017,0.045,0.025,0.0026,0.017,0.0046,0.0081,0.0017,0.013,0.0021,0,0.039
R5 H3 BHBC/M/2,bhb,38000,42,26000,60000,0.61,5.7,280,490,2.8,37,1000,14,0.26,2.7,50,35,710,0.072,1.2,0.16,16,460,0.092,0.096,0.011,0.027,0.022,0.048,0.03,0.0054,0.012,0.0035,0.013,0.0041,0.019,0.0072,0.0077,0.0038
R1 H3 PMC/M/1,pm,33000,24,28000,50000,0.7,7.7,360,410,1.4,31,310,3.8,0.45,4.7,32,97,460,0.087,10,0.14,20,110,0.096,0.13,0.016,0.061,0.026,0.012,0.024,0.0032,0.021,0.0041,0.014,0.0038,0.023,0.0069,0,0.026
R5 H3 PMC/M/2,pm,30000,26,30000,44000,0.71,11,320,420,1.9,39,350,2.7,0.13,6.5,33,120,420,0.059,11,0.08,19,100,0.1,0.28,0.019,0.046,0.062,0.015,0.04,0.0095,0.021,0.012,0.015,0.0074,0.021,0.0068,0.0099,0.014
R1 H4 BHB2/M,bhb,34000,55,26000,58000,0.81,5.4,220,530,2.4,45,1000,11,0.65,7.7,36,33,700,0.043,1.1,0.26,13,470,0.076,0.1,0.015,0.048,0.032,0.036,0.044,0.0052,0.024,0.0084,0.019,0.0049,0.019,0.0057,0.0087,0.023
R1 H4 BHB5/M,bhb,34000,47,27000,59000,0.7,4.5,260,460,2,50,1100,10,0.65,5.6,34,35,680,0.06,0.75,0.24,13,430,0.089,0.085,0.012,0.048,0.037,0.045,0.037,0.0062,0.017,0.0071,0.02,0.0045,0.047,0.011,0,0.0055
R1 H4 PM2/M,pm,28000,22,33000,35000,0.78,9.8,280,320,1.6,67,400,2.1,0.59,7.7,21,130,350,0.082,9.6,0.1,10,87,0.066,0.1,0.018,0.071,0.044,0.013,0.052,0.0053,0.031,0.0082,0.016,0.0053,0.027,0.0093,0,0.027
R1 H4 PM4/M,pm,36000,24,30000,48000,0.77,8.4,300,440,2.1,97,280,2.1,0.25,7.3,27,100,470,0.097,10,0.1,14,99,0.091,0.12,0.021,0.085,0.071,0.021,0.052,0.0069,0.039,0.011,0.03,0.0064,0.04,0.006,0,0.047
R1 H4 PM5/M1,pm,23000,28,32000,34000,0.77,6.3,240,580,1.8,33,460,1.5,1.2,8,26,110,330,0.07,7.8,0.087,14,63,0.1,0.13,0.017,0.075,0.032,0.027,0.038,0.0059,0.038,0.0089,0.029,0.0057,0.03,0.013,0.016,0.053
R1 H4 PM5/M2,pm,25000,27,31000,32000,0.67,8.3,280,390,1.9,51,430,1.2,0.64,5.4,32,120,310,0.062,6.7,0.08,11,49,0.11,0.13,0.017,0.046,0.053,0.016,0.049,0.0042,0.032,0.0071,0.017,0.0087,0.037,0.011,0.0057,0.017
R3 H4 BHBC/F/1,bhb,31000,37,31000,48000,0.82,6.2,280,480,2.6,37,1300,9.6,0.53,6.2,29,45,590,0.053,1,0.26,11,430,0.071,0.068,0.014,0.044,0.031,0.038,0.039,0.0064,0.028,0.0096,0.018,0.0066,0.023,0.0083,0.025,0.022
R5 H4 BHBC/F/2,bhb,36000,47,29000,60000,0.6,6.4,280,530,2.6,39,1200,10,0.53,8.4,33,38,710,0.043,1.2,0.26,16,470,0.081,0.1,0.0076,0.064,0.038,0.046,0.057,0.0061,0.038,0.011,0.022,0.0071,0.031,0.0059,0.006,0.018
